state,pred_change,pred_total,date,total_deaths,change
Missouri,35.816158294677734,808.7162132263184,2020-05-26,693,4
Missouri,39.98621368408203,848.7024269104004,2020-05-27,689,-4
Missouri,43.561927795410156,892.2643547058105,2020-05-28,708,19
Missouri,47.763587951660156,940.0279426574707,2020-05-29,730,22
Missouri,48.745750427246094,988.7736930847168,2020-05-30,774,44
Missouri,45.15749740600586,1033.9311904907227,2020-05-31,776,2
Missouri,53.38947296142578,1087.3206634521484,2020-06-01,776,0
Montana,-0.11970001459121704,15.880299985408783,2020-05-19,16,0
Montana,1.0627055168151855,16.94300550222397,2020-05-20,16,0
Montana,1.5622186660766602,18.50522416830063,2020-05-21,16,0
Montana,-1.6825141906738281,16.8227099776268,2020-05-22,16,0
Montana,0.17943090200424194,17.002140879631042,2020-05-23,16,0
Montana,-0.3945690989494324,16.60757178068161,2020-05-24,16,0
Montana,-0.20199447870254517,16.405577301979065,2020-05-25,16,0
Montana,-0.8386006951332092,15.566976606845856,2020-05-26,17,1
Montana,-0.9088011384010315,14.658175468444824,2020-05-27,17,0
Montana,-0.39709025621414185,14.261085212230682,2020-05-28,17,0
Montana,-2.813977003097534,11.447108209133148,2020-05-29,17,0
Montana,-0.7921150326728821,10.654993176460266,2020-05-30,17,0
Montana,-2.1835293769836426,8.471463799476624,2020-05-31,17,0
Montana,-1.6785380840301514,6.792925715446472,2020-06-01,17,0
Nebraska,2.9603776931762695,125.96037769317627,2020-05-19,123,0
Nebraska,4.599613189697266,130.55999088287354,2020-05-20,138,15
Nebraska,4.507201194763184,135.06719207763672,2020-05-21,138,0
Nebraska,1.3176236152648926,136.3848156929016,2020-05-22,147,9
Nebraska,4.035239219665527,140.42005491256714,2020-05-23,147,0
Nebraska,3.8144288063049316,144.23448371887207,2020-05-24,147,0
Nebraska,4.198211193084717,148.4326949119568,2020-05-25,147,0
Nebraska,1.7602908611297607,150.19298577308655,2020-05-26,147,0
Nebraska,2.926072120666504,153.11905789375305,2020-05-27,153,6
Nebraska,4.4355549812316895,157.55461287498474,2020-05-28,163,10
Nebraska,1.5160045623779297,159.07061743736267,2020-05-29,164,1
Nebraska,3.668328285217285,162.73894572257996,2020-05-30,170,6
