state,pred_change,pred_total,date,total_deaths,change
Kansas,2.520656108856201,216.45003080368042,2020-05-26,210,3
Kansas,1.9832444190979004,218.43327522277832,2020-05-27,213,3
Kansas,2.5400283336639404,220.97330355644226,2020-05-28,214,1
Kansas,2.664214849472046,223.6375184059143,2020-05-29,215,1
Kansas,2.0278382301330566,225.66535663604736,2020-05-30,215,0
Kansas,1.2108640670776367,226.876220703125,2020-05-31,215,0
Kansas,1.4975134134292603,228.37373411655426,2020-06-01,217,2
Kentucky,6.130066394805908,352.1300663948059,2020-05-19,366,20
Kentucky,7.99286413192749,360.1229305267334,2020-05-20,376,10
Kentucky,9.254962921142578,369.377893447876,2020-05-21,386,10
Kentucky,7.771252155303955,377.14914560317993,2020-05-22,391,5
Kentucky,7.391739368438721,384.54088497161865,2020-05-23,391,0
Kentucky,6.055026531219482,390.59591150283813,2020-05-24,391,0
Kentucky,9.547475814819336,400.14338731765747,2020-05-25,391,0
Kentucky,8.279666900634766,408.42305421829224,2020-05-26,394,3
Kentucky,5.628288269042969,414.0513424873352,2020-05-27,400,6
Kentucky,5.948523998260498,419.9998664855957,2020-05-28,409,9
Kentucky,6.8102850914001465,426.81015157699585,2020-05-29,418,9
Kentucky,8.281105041503906,435.09125661849976,2020-05-30,431,13
Kentucky,8.03620719909668,443.12746381759644,2020-05-31,431,0
Kentucky,8.582646369934082,451.7101101875305,2020-06-01,439,8
Louisiana,48.246742248535156,2611.246742248535,2020-05-19,2581,18
Louisiana,39.514888763427734,2650.761631011963,2020-05-20,2608,27
Louisiana,34.786651611328125,2685.548282623291,2020-05-21,2629,21
Louisiana,25.742082595825195,2711.290365219116,2020-05-22,2668,39
Louisiana,27.594337463378906,2738.884702682495,2020-05-23,2668,0
Louisiana,26.60730743408203,2765.492010116577,2020-05-24,2691,23
Louisiana,65.93998718261719,2831.4319972991943,2020-05-25,2691,0
Louisiana,35.242889404296875,2866.674886703491,2020-05-26,2702,11
