state,date,total_deaths,change,pred_change,pred_total
Maryland,2020-05-25,2302,25,39.334944444444446,2357.0318888888883
Maryland,2020-05-26,2333,31,54.639833333333335,2411.6717222222214
Maryland,2020-05-27,2392,59,48.10172222222218,2459.7734444444436
Maryland,2020-05-28,2428,36,48.1437222222222,2507.9171666666657
Maryland,2020-05-29,2466,38,47.07722222222222,2554.994388888888
Maryland,2020-05-30,2509,43,53.65233333333332,2608.6467222222213
Maryland,2020-05-31,2532,23,46.154777777777745,2654.801499999999
Maryland,2020-06-01,2552,20,42.841388888888865,2697.642888888888
Massachusetts,2020-05-19,5938,76,83.27611111111115,5945.276111111111
Massachusetts,2020-05-20,6066,128,129.43211111111114,6074.7082222222225
Massachusetts,2020-05-21,6148,82,133.63077777777787,6208.339
Massachusetts,2020-05-22,6228,80,106.41588888888883,6314.754888888889
Massachusetts,2020-05-23,6304,76,94.63072222222225,6409.385611111111
Massachusetts,2020-05-24,6372,68,92.6573333333333,6502.042944444444
Massachusetts,2020-05-25,6416,44,79.32583333333328,6581.368777777778
Massachusetts,2020-05-26,6473,57,93.97877777777776,6675.347555555555
Massachusetts,2020-05-27,6547,74,105.48311111111111,6780.830666666666
Massachusetts,2020-05-28,6640,93,98.89938888888888,6879.730055555555
Massachusetts,2020-05-29,6718,78,96.9948333333333,6976.724888888888
Massachusetts,2020-05-30,6768,50,89.33866666666668,7066.063555555555
Massachusetts,2020-05-31,6846,78,88.18827777777781,7154.251833333333
Massachusetts,2020-06-01,7035,189,97.04105555555556,7251.292888888888
Michigan,2020-05-19,5017,102,62.49155555555556,4977.491555555555
Michigan,2020-05-20,5060,43,58.571999999999974,5036.0635555555555
Michigan,2020-05-21,5129,69,62.08477777777778,5098.1483333333335
Michigan,2020-05-22,5158,29,60.20266666666668,5158.351000000001
Michigan,2020-05-23,5223,65,43.74099999999999,5202.092000000001
Michigan,2020-05-24,5228,5,40.83694444444444,5242.928944444445
Michigan,2020-05-25,5241,13,33.7982777777778,5276.727222222223
Michigan,2020-05-26,5266,25,60.9402222222222,5337.667444444445
Michigan,2020-05-27,5334,68,58.11933333333333,5395.786777777778
